Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price USD,Variant Price EUR,Variant Option 1 Id,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Id,Variant Option 2 Name,Variant Option 2 Value,Variant Image 1,Variant Image 2,Variant Image 3,Variant Image 4
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4JFTGH6SBQXRJKSP9S,S / Black,SHIRT-S-BLACK,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,S,opt_01M031EPVH34P2Q243M86PRZ2P,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4KJRG0BHRPW3EC7X5Z,S / White,SHIRT-S-WHITE,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,S,opt_01M031EPVH34P2Q243M86PRZ2P,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4M314PFNG3SEX7MHSM,M / Black,SHIRT-M-BLACK,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,M,opt_01M031EPVH34P2Q243M86PRZ2P,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4MW655T9HM328MBGYA,M / White,SHIRT-M-WHITE,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,M,opt_01M031EPVH34P2Q243M86PRZ2P,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4NKPRQH7KJS48NXW9F,L / Black,SHIRT-L-BLACK,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,L,opt_01M031EPVH34P2Q243M86PRZ2P,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4NV0XNDFZ1H5KA09PQ,L / White,SHIRT-L-WHITE,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,L,opt_01M031EPVH34P2Q243M86PRZ2P,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4P7ZBDD0A47ZWGQG5H,XL / Black,SHIRT-XL-BLACK,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,XL,opt_01M031EPVH34P2Q243M86PRZ2P,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77A4RRC7GPQ1XDPZH,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4PESAHD0KJ2X039EJJ,XL / White,SHIRT-XL-WHITE,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77A4RRC7GPQ1XDPZH,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,XL,opt_01M031EPVH34P2Q243M86PRZ2P,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01M031EPX77CTMH0QVMDMPDG9P,shorts,Medusa Shorts,,published,,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4SHR08MHZARYARWNSV,S,SHORTS-S,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77CTMH0QVMDMPDG9P,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,S,,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,
prod_01M031EPX77CTMH0QVMDMPDG9P,shorts,Medusa Shorts,,published,,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,400,,,,,,,,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,sc_01M031EP7Y6BKP2N15YHV22169,variant_01M031EQ4SHZ340NC4QP3K0ZMB,XL,SHORTS-XL,,,,false,true,,,,,,,,,,0,,prod_01M031EPX77CTMH0QVMDMPDG9P,Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),Sat Aug 15 2026 21:13:09 GMT+0530 (India Standard Time),,15,10,opt_01M031EPVG94BREKQNPPVR1073,Size,XL,,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,
